qa_id,source,path,category,question,A,B,C,D,answer,subject_id
training_1883,HAU,HAU/user7/4-1-2,combination,Which combination of actions is performed in this video?,"Brushing teeth, Listening to the music with headphones, Walking, Washing dishes, Sitting down, Playing games, Squats, Wiping hands, Stretching","Reading, Walking, Standing up, Lying down, Wiping hands, Washing face, Taking medicine, Listening to the music with headphones, Combing hair","Reading, Stretching, Sitting down, Checking body temperature, Standing up, Typing on a keyboard, Squats, Taking medicine, Checking the time","Washing face, Brushing teeth, Washing dishes, Checking the time, Combing hair, Checking body temperature, Lying down, Playing games, Typing on a keyboard",C,user7
training_1884,HAU,HAU/user7/4-1-3,combination,Which combination of actions is performed in this video?,"Taking medicine, Reading, Walking, Sitting down, Typing on a keyboard","Checking the time, Sitting down, Standing up, Listening to the music with headphones, Typing on a keyboard","Playing games, Checking the time, Washing face, Listening to the music with headphones, Reading","Taking medicine, Washing face, Standing up, Walking, Playing games",A,user7
training_1885,HAU,HAU/user7/5-1-1,combination,Which combination of actions is performed in this video?,"Watching TV, Jumping jacks","Undressing, Washing dishes","Washing dishes, Jumping jacks","Undressing, Watching TV",D,user7
training_1886,HAU,HAU/user7/5-1-2,combination,Which combination of actions is performed in this video?,"Undressing, Watching TV","Stirring, Brushing teeth","Brushing teeth, Undressing","Watching TV, Stirring",A,user7
training_1887,HAU,HAU/user7/5-1-3,combination,Which combination of actions is performed in this video?,"Calling, Washing face","Washing face, Watching TV","Undressing, Watching TV","Undressing, Calling",C,user7
training_1888,HAU,HAU/user7/5-2-1,combination,Which combination of actions is performed in this video?,"Calling, Stirring","Stirring, Walking","Wiping surface, Walking","Calling, Wiping surface",B,user7
training_1889,HAU,HAU/user7/5-2-2,combination,Which combination of actions is performed in this video?,"Reading, Combing hair, Pouring","Stirring, Combing hair, Undressing","Undressing, Walking, Reading","Walking, Pouring, Stirring",D,user7
training_1890,HAU,HAU/user7/5-2-3,combination,Which combination of actions is performed in this video?,"Drinking, Checking the time, Squats, Peeling fruit","Walking, Pouring, Checking the time, Grabbing utensils","Stirring, Drinking, Pouring, Walking","Stirring, Grabbing utensils, Peeling fruit, Squats",C,user7
training_1891,HAU,HAU/user7/5-3-1,combination,Which combination of actions is performed in this video?,"Grabbing utensils, Walking, Calling, Reading","Sitting down, Eating, Grabbing utensils, Walking","Eating, Pouring, Drinking, Reading","Calling, Drinking, Pouring, Sitting down",B,user7
training_1892,HAU,HAU/user7/5-3-2,combination,Which combination of actions is performed in this video?,"Grabbing utensils, Eating, Sitting down, Walking","Stirring, Calling, Sitting down, Jumping jacks","Eating, Stirring, Jumping jacks, Peeling fruit","Walking, Peeling fruit, Calling, Grabbing utensils",A,user7
training_1893,HAU,HAU/user7/5-3-3,combination,Which combination of actions is performed in this video?,"Eating, Taking medicine","Sitting down, Eating","Sitting down, Washing face","Washing face, Taking medicine",B,user7
training_1894,HAU,HAU/user7/6-1-1,combination,Which combination of actions is performed in this video?,"Walking, Massaging oneself, Undressing","Undressing, Getting dressed, Folding clothes","Massaging oneself, Brushing teeth, Folding clothes","Walking, Brushing teeth, Getting dressed",B,user7
training_1895,HAU,HAU/user7/6-1-2,combination,Which combination of actions is performed in this video?,"Folding clothes, Checking body temperature, Eating, Standing up","Getting dressed, Standing up, Walking, Pouring","Eating, Pouring, Checking body temperature, Undressing","Walking, Undressing, Getting dressed, Folding clothes",D,user7
training_1896,HAU,HAU/user7/6-1-3,combination,Which combination of actions is performed in this video?,"Washing face, Drinking","Folding clothes, Washing face","Walking, Folding clothes","Drinking, Walking",C,user7
training_1897,HAU,HAU/user7/6-3-1,combination,Which combination of actions is performed in this video?,"Eating, Brushing teeth","Brushing teeth, Walking","Sitting down, Walking","Eating, Sitting down",C,user7
training_1899,HAU,HAU/user7/6-3-3,combination,Which combination of actions is performed in this video?,"Checking the time, Typing on a keyboard, Taking medicine, Writing","Walking, Lying down, Taking medicine, Watching TV","Walking, Sitting down, Checking the time, Typing on a keyboard","Sitting down, Lying down, Writing, Watching TV",C,user7
training_1900,HAU,HAU/user7/7-1-1,combination,Which combination of actions is performed in this video?,"Wiping surface, Checking body temperature, Using a phone","Sitting down, Stirring, Wiping surface","Checking body temperature, Sitting down, Listening to the music with headphones","Listening to the music with headphones, Stirring, Using a phone",C,user7
training_1901,HAU,HAU/user7/7-1-2,combination,Which combination of actions is performed in this video?,"Lying down, Sitting down, Stirring","Lying down, Watching TV, Listening to the music with headphones","Listening to the music with headphones, Sitting down, Checking body temperature","Checking body temperature, Watching TV, Stirring",C,user7
training_1902,HAU,HAU/user7/7-1-3,combination,Which combination of actions is performed in this video?,"Listening to the music with headphones, Wiping surface","Washing face, Sitting down","Sitting down, Listening to the music with headphones","Wiping surface, Washing face",C,user7
training_1903,HAU,HAU/user7/7-2-1,combination,Which combination of actions is performed in this video?,"Eating, Wiping hands","Wiping hands, Mopping","Mopping, Using a phone","Eating, Using a phone",A,user7
training_1904,HAU,HAU/user7/7-2-2,combination,Which combination of actions is performed in this video?,"Peeling fruit, Lunges","Eating, Turning a page","Peeling fruit, Eating","Lunges, Turning a page",C,user7
training_1905,HAU,HAU/user7/7-2-3,combination,Which combination of actions is performed in this video?,"Peeling fruit, Reading, Checking body temperature","Reading, Wiping hands, Grabbing utensils","Eating, Peeling fruit, Wiping hands","Checking body temperature, Grabbing utensils, Eating",C,user7
training_1906,HAU,HAU/user8/1-1-1,combination,Which combination of actions is performed in this video?,"Folding clothes, Brushing teeth","Lying down, Folding clothes","Wiping hands, Brushing teeth","Wiping hands, Lying down",C,user8
training_1907,HAU,HAU/user8/1-1-2,combination,Which combination of actions is performed in this video?,"Eating, Brushing teeth","Eating, Turning a page","Wiping hands, Brushing teeth","Turning a page, Wiping hands",C,user8
training_1908,HAU,HAU/user8/1-1-3,combination,Which combination of actions is performed in this video?,"Getting dressed, Massaging oneself","Massaging oneself, Brushing teeth","Getting dressed, Wiping hands","Brushing teeth, Wiping hands",D,user8
training_1909,HAU,HAU/user8/1-2-1,combination,Which combination of actions is performed in this video?,"Listening to the music with headphones, Grabbing utensils","Calling, Listening to the music with headphones","Pouring, Calling","Grabbing utensils, Pouring",B,user8
training_1910,HAU,HAU/user8/1-2-2,combination,Which combination of actions is performed in this video?,"Taking a selfie, Lunges, Walking, Sitting down","Pouring, Sitting down, Calling, Undressing","Pouring, Listening to the music with headphones, Undressing, Lunges","Calling, Walking, Taking a selfie, Listening to the music with headphones",D,user8
training_1911,HAU,HAU/user8/1-2-3,combination,Which combination of actions is performed in this video?,"Listening to the music with headphones, Sweeping, Reading, Checking the time","Listening to the music with headphones, Taking a selfie, Walking, Reading","Sitting down, Getting dressed, Sweeping, Walking","Sitting down, Taking a selfie, Getting dressed, Checking the time",B,user8
training_1912,HAU,HAU/user8/2-1-1,combination,Which combination of actions is performed in this video?,"Pouring, Taking medicine, Checking the time, Folding clothes, Washing dishes","Pouring, Undressing, Running, Sitting down, Taking medicine","Listening to the music with headphones, Undressing, Washing dishes, Calling, Running","Calling, Checking the time, Sitting down, Listening to the music with headphones, Folding clothes",D,user8
training_1913,HAU,HAU/user8/2-1-2,combination,Which combination of actions is performed in this video?,"Folding clothes, Calling, Checking the time, Listening to the music with headphones","Listening to the music with headphones, Walking, Folding clothes, Running","Checking body temperature, Calling, Wiping surface, Running","Walking, Checking the time, Checking body temperature, Wiping surface",A,user8
training_1914,HAU,HAU/user8/2-1-3,combination,Which combination of actions is performed in this video?,"Combing hair, Massaging oneself, Folding clothes, Calling","Combing hair, Drinking, Checking the time, Taking medicine","Massaging oneself, Taking medicine, Listening to the music with headphones, Drinking","Calling, Listening to the music with headphones, Folding clothes, Checking the time",D,user8
training_1915,HAU,HAU/user8/2-2-1,combination,Which combination of actions is performed in this video?,"Sweeping, Wiping surface","Wiping surface, Walking","Taking medicine, Sweeping","Taking medicine, Walking",B,user8
training_1916,HAU,HAU/user8/2-2-2,combination,Which combination of actions is performed in this video?,"Jumping jacks, Walking","Massaging oneself, Wiping surface","Massaging oneself, Jumping jacks","Walking, Wiping surface",D,user8
training_1917,HAU,HAU/user8/2-2-3,combination,Which combination of actions is performed in this video?,"Walking, Washing face","Washing face, Lying down","Wiping surface, Walking","Lying down, Wiping surface",C,user8
training_1918,HAU,HAU/user8/3-1-1,combination,Which combination of actions is performed in this video?,"Sweeping, Reading","Mopping, Sweeping","Reading, Writing","Mopping, Writing",B,user8
training_1919,HAU,HAU/user8/3-1-2,combination,Which combination of actions is performed in this video?,"Mopping, Sitting down","Typing on a keyboard, Sweeping","Typing on a keyboard, Sitting down","Mopping, Sweeping",D,user8
training_1920,HAU,HAU/user8/3-1-3,combination,Which combination of actions is performed in this video?,"Watching TV, Mopping","Watching TV, Stretching","Mopping, Sweeping","Sweeping, Stretching",C,user8
training_1921,HAU,HAU/user8/3-2-1,combination,Which combination of actions is performed in this video?,"Washing dishes, Peeling fruit, Writing","Pouring, Washing dishes, Stirring","Writing, Pouring, Checking body temperature","Peeling fruit, Checking body temperature, Stirring",B,user8
training_1922,HAU,HAU/user8/3-2-2,combination,Which combination of actions is performed in this video?,"Stirring, Peeling fruit, Stretching","Washing dishes, Stirring, Pouring","Pouring, Stretching, Checking the time","Peeling fruit, Checking the time, Washing dishes",B,user8
training_1923,HAU,HAU/user8/3-2-3,combination,Which combination of actions is performed in this video?,"Reading, Standing up","Standing up, Washing dishes","Pouring, Washing dishes","Reading, Pouring",C,user8
training_1924,HAU,HAU/user8/3-3-1,combination,Which combination of actions is performed in this video?,"Typing on a keyboard, Undressing","Walking, Wiping surface","Undressing, Wiping surface","Typing on a keyboard, Walking",B,user8
training_1925,HAU,HAU/user8/3-3-2,combination,Which combination of actions is performed in this video?,"Walking, Massaging oneself","Walking, Wiping surface","Massaging oneself, Using a phone","Wiping surface, Using a phone",B,user8
training_1926,HAU,HAU/user8/3-3-3,combination,Which combination of actions is performed in this video?,"Eating, Walking","Writing, Eating","Walking, Wiping surface","Writing, Wiping surface",C,user8
training_1927,HAU,HAU/user8/4-1-1,combination,Which combination of actions is performed in this video?,"Typing on a keyboard, Sweeping, Sitting down","Writing, Sweeping, Drinking","Sitting down, Writing, Reading","Reading, Drinking, Typing on a keyboard",C,user8
training_1928,HAU,HAU/user8/4-1-2,combination,Which combination of actions is performed in this video?,"Massaging oneself, Stirring","Listening to the music with headphones, Sitting down","Listening to the music with headphones, Stirring","Sitting down, Massaging oneself",B,user8
training_1929,HAU,HAU/user8/4-1-3,combination,Which combination of actions is performed in this video?,"Turning a page, Reading, Sitting down","Eating, Turning a page, Typing on a keyboard","Typing on a keyboard, Reading, Wiping surface","Wiping surface, Eating, Sitting down",A,user8
training_1930,HAU,HAU/user8/4-2-1,combination,Which combination of actions is performed in this video?,"Pouring, Reading, Peeling fruit","Walking, Mopping, Pouring","Mopping, Stirring, Reading","Peeling fruit, Stirring, Walking",D,user8
training_1931,HAU,HAU/user8/4-2-2,combination,Which combination of actions is performed in this video?,"Typing on a keyboard, Peeling fruit, Stirring","Pouring, Stirring, Walking","Typing on a keyboard, Sweeping, Pouring","Walking, Peeling fruit, Sweeping",B,user8
training_1932,HAU,HAU/user8/4-2-3,combination,Which combination of actions is performed in this video?,"Stirring, Pouring","Stirring, Washing face","Pouring, Reading","Reading, Washing face",A,user8
training_1933,HAU,HAU/user8/5-1-1,combination,Which combination of actions is performed in this video?,"Standing up, Listening to the music with headphones, Stirring, Taking a selfie, Combing hair, Sitting down, Mopping","Lunges, Checking the time, Combing hair, Stirring, Sweeping, Stretching, Writing","Sitting down, Lunges, Typing on a keyboard, Standing up, Checking the time, Stretching, Running","Mopping, Listening to the music with headphones, Sweeping, Running, Taking a selfie, Writing, Typing on a keyboard",C,user8
training_1934,HAU,HAU/user8/5-1-2,combination,Which combination of actions is performed in this video?,"Stretching, Checking the time, Standing up, Sitting down, Running, Lunges","Pouring, Lunges, Writing, Stretching, Typing on a keyboard, Calling","Writing, Brushing teeth, Pouring, Running, Stirring, Sitting down","Calling, Standing up, Stirring, Typing on a keyboard, Brushing teeth, Checking the time",A,user8
training_1935,HAU,HAU/user8/5-1-3,combination,Which combination of actions is performed in this video?,"Standing up, Listening to the music with headphones","Standing up, Lunges","Wiping hands, Listening to the music with headphones","Lunges, Wiping hands",B,user8
training_1936,HAU,HAU/user8/6-1-1,combination,Which combination of actions is performed in this video?,"Getting dressed, Using a phone","Using a phone, Lunges","Lunges, Undressing","Getting dressed, Undressing",D,user8
training_1937,HAU,HAU/user8/6-1-2,combination,Which combination of actions is performed in this video?,"Stretching, Undressing","Stretching, Folding clothes","Folding clothes, Reading","Undressing, Reading",A,user8
training_1938,HAU,HAU/user8/6-1-3,combination,Which combination of actions is performed in this video?,"Squats, Writing","Getting dressed, Squats","Wiping surface, Writing","Wiping surface, Getting dressed",B,user8
training_1939,HAU,HAU/user8/6-2-1,combination,Which combination of actions is performed in this video?,"Sweeping, Folding clothes, Jumping jacks, Peeling fruit, Washing dishes, Walking","Standing up, Jumping jacks, Drinking, Stretching, Peeling fruit, Checking the time","Writing, Sweeping, Standing up, Checking the time, Folding clothes, Watching TV","Writing, Walking, Drinking, Washing dishes, Stretching, Watching TV",B,user8
training_1940,HAU,HAU/user8/6-2-2,combination,Which combination of actions is performed in this video?,"Eating, Peeling fruit, Jumping jacks, Checking the time, Grabbing utensils, Sitting down, Pouring, Stirring, Typing on a keyboard","Standing up, Writing, Typing on a keyboard, Lying down, Pouring, Lunges, Stirring, Reading, Stretching","Jumping jacks, Standing up, Walking, Checking the time, Drinking, Turning a page, Writing, Stretching, Peeling fruit","Lunges, Lying down, Drinking, Walking, Grabbing utensils, Turning a page, Reading, Sitting down, Eating",C,user8
training_1941,HAU,HAU/user8/6-2-3,combination,Which combination of actions is performed in this video?,"Drinking, Jumping jacks, Walking, Turning a page, Writing, Standing up, Checking the time, Stretching","Jumping jacks, Using a phone, Peeling fruit, Turning a page, Standing up, Stirring, Typing on a keyboard, Grabbing utensils","Playing games, Typing on a keyboard, Reading, Checking the time, Drinking, Grabbing utensils, Combing hair, Writing","Walking, Stirring, Playing games, Using a phone, Reading, Combing hair, Stretching, Peeling fruit",A,user8
training_1942,HAU,HAU/user8/7-1-1,combination,Which combination of actions is performed in this video?,"Sitting down, Wiping hands, Brushing teeth, Massaging oneself, Taking medicine, Typing on a keyboard, Checking the time","Washing face, Sitting down, Massaging oneself, Checking body temperature, Writing, Undressing, Turning a page","Brushing teeth, Combing hair, Taking medicine, Washing face, Wiping hands, Getting dressed, Undressing","Getting dressed, Checking body temperature, Checking the time, Writing, Combing hair, Typing on a keyboard, Turning a page",C,user8
training_1943,HAU,HAU/user8/7-1-2,combination,Which combination of actions is performed in this video?,"Writing, Washing face, Wiping hands, Checking body temperature, Taking a selfie, Folding clothes, Mopping, Checking the time, Walking","Watching TV, Turning a page, Brushing teeth, Folding clothes, Writing, Mopping, Eating, Massaging oneself, Getting dressed","Undressing, Massaging oneself, Brushing teeth, Wiping hands, Taking medicine, Getting dressed, Checking body temperature, Washing face, Combing hair","Watching TV, Taking a selfie, Walking, Taking medicine, Eating, Combing hair, Undressing, Turning a page, Checking the time",C,user8
training_1944,HAU,HAU/user8/7-1-3,combination,Which combination of actions is performed in this video?,"Massaging oneself, Eating","Eating, Lunges","Massaging oneself, Washing face","Washing face, Lunges",C,user8
training_1945,HAU,HAU/user8/7-2-1,combination,Which combination of actions is performed in this video?,"Peeling fruit, Stirring, Eating, Taking medicine, Pouring","Eating, Drinking, Washing face, Taking medicine, Combing hair","Grabbing utensils, Stirring, Washing face, Stretching, Drinking","Pouring, Stretching, Grabbing utensils, Peeling fruit, Combing hair",A,user8
training_1946,HAU,HAU/user8/7-2-2,combination,Which combination of actions is performed in this video?,"Grabbing utensils, Drinking, Squats, Eating, Stirring","Stirring, Peeling fruit, Taking medicine, Eating, Pouring","Peeling fruit, Drinking, Standing up, Squats, Lying down","Standing up, Lying down, Pouring, Taking medicine, Grabbing utensils",B,user8
training_1947,HAU,HAU/user8/7-2-3,combination,Which combination of actions is performed in this video?,"Calling, Getting dressed, Stirring, Watching TV, Sitting down","Stirring, Peeling fruit, Taking medicine, Pouring, Eating","Sitting down, Eating, Taking medicine, Combing hair, Watching TV","Getting dressed, Combing hair, Calling, Pouring, Peeling fruit",B,user8
training_1948,HAU,HAU/user9/1-1-1,combination,Which combination of actions is performed in this video?,"Combing hair, Getting dressed, Brushing teeth, Wiping hands","Stirring, Wiping hands, Getting dressed, Stretching","Typing on a keyboard, Stirring, Combing hair, Taking a selfie","Typing on a keyboard, Brushing teeth, Taking a selfie, Stretching",A,user9
training_1949,HAU,HAU/user9/1-1-2,combination,Which combination of actions is performed in this video?,"Combing hair, Washing dishes, Walking, Wiping hands","Wiping hands, Stretching, Combing hair, Brushing teeth","Getting dressed, Stretching, Washing dishes, Watching TV","Getting dressed, Walking, Watching TV, Brushing teeth",B,user9
training_1950,HAU,HAU/user9/1-1-3,combination,Which combination of actions is performed in this video?,"Taking a selfie, Wiping hands, Stirring, Washing dishes","Washing dishes, Combing hair, Brushing teeth, Taking a selfie","Stretching, Getting dressed, Combing hair, Stirring","Stretching, Brushing teeth, Getting dressed, Wiping hands",D,user9
training_1951,HAU,HAU/user9/1-2-1,combination,Which combination of actions is performed in this video?,"Undressing, Sweeping","Typing on a keyboard, Sweeping","Undressing, Listening to the music with headphones","Listening to the music with headphones, Typing on a keyboard",D,user9
training_1952,HAU,HAU/user9/1-2-2,combination,Which combination of actions is performed in this video?,"Sitting down, Lying down, Writing, Listening to the music with headphones","Sitting down, Walking, Typing on a keyboard, Listening to the music with headphones","Watching TV, Walking, Reading, Lying down","Reading, Writing, Typing on a keyboard, Watching TV",B,user9
training_1953,HAU,HAU/user9/1-2-3,combination,Which combination of actions is performed in this video?,"Listening to the music with headphones, Walking, Sitting down, Typing on a keyboard","Sitting down, Using a phone, Listening to the music with headphones, Getting dressed","Getting dressed, Walking, Writing, Brushing teeth","Brushing teeth, Typing on a keyboard, Writing, Using a phone",A,user9
training_1954,HAU,HAU/user9/2-1-1,combination,Which combination of actions is performed in this video?,"Drinking, Washing face, Stirring","Getting dressed, Drinking, Pouring","Getting dressed, Washing face, Grabbing utensils","Pouring, Grabbing utensils, Stirring",D,user9
training_1955,HAU,HAU/user9/2-1-2,combination,Which combination of actions is performed in this video?,"Writing, Pouring, Drinking","Drinking, Grabbing utensils, Squats","Grabbing utensils, Stirring, Pouring","Squats, Stirring, Writing",C,user9
training_1956,HAU,HAU/user9/2-1-3,combination,Which combination of actions is performed in this video?,"Turning a page, Washing face","Grabbing utensils, Washing face","Pouring, Turning a page","Pouring, Grabbing utensils",D,user9
training_1957,HAU,HAU/user9/2-2-1,combination,Which combination of actions is performed in this video?,"Jumping jacks, Drinking, Combing hair","Jumping jacks, Walking, Squats","Drinking, Mopping, Walking","Squats, Mopping, Combing hair",B,user9
training_1958,HAU,HAU/user9/2-2-2,combination,Which combination of actions is performed in this video?,"Walking, Brushing teeth","Brushing teeth, Grabbing utensils","Squats, Walking","Squats, Grabbing utensils",C,user9
training_1959,HAU,HAU/user9/2-2-3,combination,Which combination of actions is performed in this video?,"Eating, Jumping jacks","Jumping jacks, Walking","Folding clothes, Eating","Folding clothes, Walking",B,user9
training_1960,HAU,HAU/user9/2-3-1,combination,Which combination of actions is performed in this video?,"Lunges, Walking","Peeling fruit, Walking","Peeling fruit, Reading","Lunges, Reading",B,user9
training_1961,HAU,HAU/user9/2-3-2,combination,Which combination of actions is performed in this video?,"Wiping surface, Peeling fruit","Walking, Peeling fruit","Wiping surface, Folding clothes","Folding clothes, Walking",B,user9
training_1962,HAU,HAU/user9/2-3-3,combination,Which combination of actions is performed in this video?,"Peeling fruit, Walking","Checking body temperature, Jumping jacks","Walking, Jumping jacks","Checking body temperature, Peeling fruit",A,user9
training_1963,HAU,HAU/user9/3-1-1,combination,Which combination of actions is performed in this video?,"Undressing, Playing games","Taking a selfie, Wiping surface","Undressing, Taking a selfie","Wiping surface, Playing games",A,user9
training_1964,HAU,HAU/user9/3-1-2,combination,Which combination of actions is performed in this video?,"Playing games, Undressing","Undressing, Lunges","Playing games, Peeling fruit","Lunges, Peeling fruit",A,user9
training_1965,HAU,HAU/user9/3-1-3,combination,Which combination of actions is performed in this video?,"Grabbing utensils, Checking the time","Playing games, Undressing","Grabbing utensils, Playing games","Checking the time, Undressing",B,user9
training_1966,HAU,HAU/user9/3-2-1,combination,Which combination of actions is performed in this video?,"Using a phone, Pouring","Walking, Pouring","Walking, Getting dressed","Getting dressed, Using a phone",B,user9
training_1967,HAU,HAU/user9/3-2-2,combination,Which combination of actions is performed in this video?,"Walking, Drinking, Pouring","Undressing, Stirring, Pouring","Undressing, Drinking, Getting dressed","Getting dressed, Stirring, Walking",A,user9
training_1968,HAU,HAU/user9/3-2-3,combination,Which combination of actions is performed in this video?,"Drinking, Stretching, Stirring","Pouring, Drinking, Walking","Pouring, Taking a selfie, Stretching","Walking, Stirring, Taking a selfie",B,user9
training_1969,HAU,HAU/user9/3-3-1,combination,Which combination of actions is performed in this video?,"Reading, Wiping hands","Wiping hands, Listening to the music with headphones","Mopping, Listening to the music with headphones","Reading, Mopping",C,user9
training_1970,HAU,HAU/user9/3-3-2,combination,Which combination of actions is performed in this video?,"Lying down, Jumping jacks, Mopping, Squats","Listening to the music with headphones, Walking, Jumping jacks, Taking a selfie","Listening to the music with headphones, Taking a selfie, Squats, Sweeping","Mopping, Walking, Sweeping, Lying down",D,user9
training_1971,HAU,HAU/user9/3-3-3,combination,Which combination of actions is performed in this video?,"Squats, Lying down, Listening to the music with headphones, Walking, Mopping","Listening to the music with headphones, Stirring, Mopping, Taking a selfie, Sweeping","Taking a selfie, Stirring, Reading, Lying down, Drinking","Squats, Reading, Walking, Sweeping, Drinking",A,user9
training_1972,HAU,HAU/user9/4-1-1,combination,Which combination of actions is performed in this video?,"Lying down, Using a phone","Typing on a keyboard, Reading","Typing on a keyboard, Using a phone","Lying down, Reading",B,user9
training_1973,HAU,HAU/user9/4-1-2,combination,Which combination of actions is performed in this video?,"Checking the time, Undressing, Eating","Undressing, Using a phone, Reading","Reading, Typing on a keyboard, Checking the time","Typing on a keyboard, Eating, Using a phone",C,user9
training_1974,HAU,HAU/user9/4-1-3,combination,Which combination of actions is performed in this video?,"Reading, Writing, Washing dishes","Washing dishes, Typing on a keyboard, Drinking","Typing on a keyboard, Checking the time, Reading","Checking the time, Drinking, Writing",C,user9
training_1975,HAU,HAU/user9/4-2-2,combination,Which combination of actions is performed in this video?,"Squats, Stretching, Walking","Walking, Drinking, Folding clothes","Watching TV, Stretching, Folding clothes","Drinking, Squats, Watching TV",A,user9
training_1976,HAU,HAU/user9/4-2-3,combination,Which combination of actions is performed in this video?,"Combing hair, Stretching, Eating","Watching TV, Walking, Combing hair","Watching TV, Eating, Squats","Stretching, Squats, Walking",D,user9
training_1977,HAU,HAU/user9/4-3-1,combination,Which combination of actions is performed in this video?,"Typing on a keyboard, Taking medicine","Walking, Typing on a keyboard","Squats, Walking","Sitting down, Taking medicine",B,user9
training_1978,HAU,HAU/user9/4-3-2,combination,Which combination of actions is performed in this video?,"Sweeping, Typing on a keyboard","Walking, Playing games","Typing on a keyboard, Walking","Sitting down, Sweeping",C,user9
training_1979,HAU,HAU/user9/4-3-3,combination,Which combination of actions is performed in this video?,"Walking, Typing on a keyboard","Drinking, Playing games","Walking, Playing games","Drinking, Typing on a keyboard",A,user9
training_1980,HAU,HAU/user9/5-1-1,combination,Which combination of actions is performed in this video?,"Stretching, Massaging oneself","Standing up, Listening to the music with headphones","Massaging oneself, Listening to the music with headphones","Stretching, Standing up",B,user9
training_1981,HAU,HAU/user9/5-1-2,combination,Which combination of actions is performed in this video?,"Standing up, Peeling fruit, Brushing teeth","Playing games, Listening to the music with headphones, Standing up","Peeling fruit, Listening to the music with headphones, Squats","Squats, Brushing teeth, Playing games",B,user9
training_1982,HAU,HAU/user9/5-1-3,combination,Which combination of actions is performed in this video?,"Playing games, Standing up","Folding clothes, Wiping hands","Playing games, Folding clothes","Wiping hands, Standing up",A,user9
training_1983,HAU,HAU/user9/5-2-1,combination,Which combination of actions is performed in this video?,"Wiping hands, Sitting down","Lying down, Peeling fruit","Sitting down, Lying down","Wiping hands, Peeling fruit",D,user9
training_1984,HAU,HAU/user9/5-2-2,combination,Which combination of actions is performed in this video?,"Wiping hands, Peeling fruit","Massaging oneself, Wiping hands","Calling, Peeling fruit","Massaging oneself, Calling",A,user9
training_1985,HAU,HAU/user9/5-2-3,combination,Which combination of actions is performed in this video?,"Wiping surface, Wiping hands","Peeling fruit, Lying down","Peeling fruit, Wiping hands","Lying down, Wiping surface",C,user9
training_1986,HAU,HAU/user9/5-3-1,combination,Which combination of actions is performed in this video?,"Washing face, Sitting down","Using a phone, Washing face","Squats, Using a phone","Squats, Sitting down",D,user9
training_1987,HAU,HAU/user9/5-3-2,combination,Which combination of actions is performed in this video?,"Sitting down, Massaging oneself, Squats, Walking, Checking the time","Washing face, Lunges, Playing games, Jumping jacks, Checking the time","Squats, Watching TV, Jumping jacks, Playing games, Sitting down","Walking, Massaging oneself, Lunges, Watching TV, Washing face",A,user9
training_1988,HAU,HAU/user9/5-3-3,combination,Which combination of actions is performed in this video?,"Walking, Playing games, Using a phone, Sitting down, Washing dishes","Washing dishes, Folding clothes, Massaging oneself, Checking the time, Brushing teeth","Walking, Squats, Massaging oneself, Sitting down, Checking the time","Brushing teeth, Using a phone, Folding clothes, Squats, Playing games",C,user9
training_1989,HAU,HAU/user9/6-1-1,combination,Which combination of actions is performed in this video?,"Reading, Sitting down, Using a phone","Writing, Sitting down, Typing on a keyboard","Writing, Using a phone, Stirring","Typing on a keyboard, Stirring, Reading",B,user9
training_1990,HAU,HAU/user9/6-1-2,combination,Which combination of actions is performed in this video?,"Reading, Checking the time, Getting dressed","Checking the time, Writing, Washing face","Reading, Typing on a keyboard, Writing","Typing on a keyboard, Washing face, Getting dressed",C,user9
training_1991,HAU,HAU/user9/6-1-3,combination,Which combination of actions is performed in this video?,"Reading, Wiping surface, Getting dressed","Sweeping, Wiping surface, Sitting down","Writing, Sitting down, Reading","Getting dressed, Sweeping, Writing",C,user9
training_1992,HAU,HAU/user9/6-2-1,combination,Which combination of actions is performed in this video?,"Sitting down, Squats","Squats, Checking body temperature","Taking medicine, Sitting down","Checking body temperature, Taking medicine",D,user9
training_1993,HAU,HAU/user9/6-2-2,combination,Which combination of actions is performed in this video?,"Taking a selfie, Taking medicine, Lying down","Using a phone, Folding clothes, Taking a selfie","Eating, Folding clothes, Lying down","Taking medicine, Eating, Using a phone",A,user9
training_1994,HAU,HAU/user9/6-2-3,combination,Which combination of actions is performed in this video?,"Taking a selfie, Folding clothes, Peeling fruit","Taking medicine, Peeling fruit, Washing dishes","Washing dishes, Folding clothes, Playing games","Taking medicine, Taking a selfie, Playing games",D,user9
training_1995,HAU,HAU/user9/7-1-1,combination,Which combination of actions is performed in this video?,"Massaging oneself, Brushing teeth, Reading","Checking body temperature, Reading, Playing games","Playing games, Brushing teeth, Taking medicine","Massaging oneself, Checking body temperature, Taking medicine",D,user9
training_1996,HAU,HAU/user9/7-1-2,combination,Which combination of actions is performed in this video?,"Using a phone, Taking medicine, Turning a page","Massaging oneself, Taking medicine, Checking body temperature","Massaging oneself, Using a phone, Reading","Turning a page, Checking body temperature, Reading",B,user9
training_1997,HAU,HAU/user9/7-1-3,combination,Which combination of actions is performed in this video?,"Checking body temperature, Massaging oneself, Taking medicine","Checking body temperature, Playing games, Listening to the music with headphones","Peeling fruit, Listening to the music with headphones, Taking medicine","Massaging oneself, Peeling fruit, Playing games",A,user9
